Title,Abstract,Article URL,date
A tool to distinguish magmatic from secondarily recrystallized carbonatites—Calcite/apatite rare earth element partitioning,"Crustal geochemical signatures in carbonatites may arise from carbon recycling through the mantle or from fluid-mediated interaction with the continental crust. To distinguish igneous from fluid-mediated processes, we experimentally determined rare earth element (REE) partitioning between calcite/melt and apatite/melt at subvolcanic emplacement conditions (1–2 kbar, 750–1000 °C). Our data allow modeling of calcite-apatite (Cc/Ap) partition coefficients (D), representing a new tool to bypass the previously required but largely unknown carbonatite melt composition. Experimentally determined magmatic calcite/apatite REE patterns are flat, as  is ~0.75, and they show a slight U-shape that becomes more pronounced with temperature decreasing from 1000 to 750 °C. Application to texturally well-equilibrated natural Ca-carbonatites and calcite-bearing nephelinites shows that some calcite-apatite pairs follow this pattern and, hence, confirm the magmatic nature of the carbonates.  values of other mineral pairs range from 10−2 to 10−3, which, together with a substantial light REE depletion in the calcite, is interpreted as fluid-mediated light REE removal during secondary calcite recrystallization. Calcite/apatite REE distributions are well suited to evaluate whether a carbonatite mineralogy is primary and magmatic or has been affected by secondary recrystallization. In this sense, our tool provides information about the sample's primary or secondary nature, which is essential when assigning isotopic crustal signatures (in Ca, C, or Sr) or REE patterns to related geologic processes.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/54/618718/A-tool-to-distinguish-magmatic-from-secondarily,2023-01-21
Kovdor to Oldoinyo Lengai—The missing link in carbonatitic magma evolution,"Experiments were conducted to test the hypothesis that interaction of a carbonatitic magma with quartz-rich rocks plays a key role in shaping carbonatite complexes. The host rocks were represented by quartz, and the magma was represented by synthetic mixtures of CaCO3, MgCO3, and Na2CO3. With increasing distance from the quartz, the reaction between the carbonate liquid and quartz produced a domain of Na(Ca)-rich silicate glass, a domain of metasomatic wollastonite, diopside, and forsterite, and a carbonate-rich domain. This zonation reproduces that observed in many carbonatite complexes, e.g., Kovdor, Russia. The experiments provide strong evidence that carbonatitic magma/host-rock interaction controls the evolution of carbonatite complexes and explains how Mg-Ca-carbonatitic magmas from the mantle can evolve to produce the natrocarbonatites and associated alkaline silicate rocks observed at Oldoinyo Lengai, Tanzania.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/59/618716/Kovdor-to-Oldoinyo-Lengai-The-missing-link-in,2023-01-21
Post-subduction porphyry Cu magmas in the Sanjiang region of southwestern China formed by fractionation of lithospheric mantle–derived mafic magmas,^^^none^^^,https://pubs.geoscienceworld.org/gsa/geology/article/51/1/64/619170/Post-subduction-porphyry-Cu-magmas-in-the-Sanjiang,2023-01-21
"Chromium isotopes track redox fluctuations in Proterozoic successions of the Chapada Diamantina, São Francisco craton, Brazil",^^^none^^^,https://pubs.geoscienceworld.org/gsa/geology/article/51/1/69/619173/Chromium-isotopes-track-redox-fluctuations-in,2023-01-21
Sponge-rich sediment recycling in a Paleozoic continental arc driven by mélange melting,"Slab material transfer processes in continental arcs can be challenging to decipher because magmas are often characterized by significant contributions from continental material. In this study, we identified a Prototethyan continental arc (419–418 Ma) that is now located in the Dazhonghe area of the southeast Tibetan Plateau, which, based on Sr-Nd-Hf-O-Si isotope relationships, implies no detectable continental material contributions. The Dazhonghe arc rocks display much lower δ30Si values than modern arc rocks and average mantle; this is best explained by subduction of sponge-rich marine sediments, which are thought to have been the dominant marine organisms during the Neoproterozoic and early Paleozoic. Our mixing calculations reveal that only bulk mixing among sponge-rich sediments, altered oceanic crust (AOC), and the depleted mantle would be capable of accounting for all the Sr-Nd-Hf-O-Si isotope compositions. This finding implies that the Dazhonghe arc magmas were generated by melting of a mélange that formed at the slab-mantle interface. The Dazhonghe continental arc is the first for which mélange melting has been confirmed.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/75/619176/Sponge-rich-sediment-recycling-in-a-Paleozoic,2023-01-21
"Silicification of trilobites and biofilm from the Cambrian Weeks Formation, Utah: Evidence for microbial mediation of silicification","We report on silicified trilobite sclerites with associated silicified biofilm from the Cambrian Weeks Formation, Utah (USA), that support a role for microbial biofilms in silicification. Silicified sclerites are typically small (<3 mm) and incompletely preserved. All studied specimens are partly coated in 5–20 µm (rarely >500 µm) of silica-cemented matrix. High-resolution scanning electron microscope (SEM) study reveals the presence of two different forms of carbon-rich threads, ribbons and mats, coating both sclerites and silica-cemented matrix. Crystalline-looking biofilm threads and ribbons composed of Si, O, and C are interpreted as silicified biofilm associated with the trilobite silicification. Rippled to smooth biofilm mats composed of more C, less Si and O, and a trace of N are post-silicification. Embedded in the silica of the sclerites and matrix are molds of framboids that we interpret as originally framboidal pyrite that was engulfed by silica. These data indicate that silica precipitation continued into the surrounding matrix following the propagation of sulfate-reducing bacteria feeding on the organic matter present in the sclerite and the neighboring sediment. This strongly supports the model that bacterially mediated decay is key to the silicification of carbonate bioclasts and provides the first direct evidence of a microbial community (biofilm). A literature review reveals that silica extends past the fossil more frequently than is recognized, suggesting that silicified biofilm might be common but overlooked.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/80/619174/Silicification-of-trilobites-and-biofilm-from-the,2023-01-21
Diagenetic priming of submarine landslides in ooze-rich substrates,"Oozes are the most widespread deep-sea sediment in the global ocean, but very little is known about how changes in their physical properties during burial impact slope stability and related geohazards. We used three-dimensional seismic reflection, geochemical, and petrophysical data acquired both within and adjacent to 13 large (in total ~6330 km2) submarine slides on the Exmouth Plateau, North West Shelf, Australia, to investigate how the pre-slide physical properties of oozes control slope failure and emplacement processes. Our integrated data set allows potential slide surfaces to be detected within ooze successions, a crucial advance for improved submarine geohazard assessment. Moreover, we demonstrate that the interplay of tectonics, ocean current activity, and silica diagenesis can prime multiple slides on very low-gradient slopes in tropical oceanic basins. Therefore, the diagenetic state of silica-rich sediments should be considered in future studies to improve slope stability assessments.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/85/619168/Diagenetic-priming-of-submarine-landslides-in-ooze,2023-01-21
Fault permeability from stochastic modeling of clay smears,"In normally consolidated, shallow (depth <~3 km) siliciclastic sequences, faults develop clay smears. Existing models include the dependence of permeability on the clay fraction, but improved predictions of fault permeability should account for uncertainty and anisotropy. We introduce PREDICT, a methodology that computes probability distributions for the directional components (dip-normal, strike-parallel, and dip-parallel) of the fault permeability tensor from statistical samples for a set of geological variables. These variables, which include geometrical, compositional, and mechanical properties, allow multiple discretizations of the fault core to be populated with sand and clay smears, which can be used to upscale the permeability to a coarser scale (e.g., suitable for reservoir modeling). We validated our implementation with experimental data and applied PREDICT to several stratigraphic sequences. We show that fault permeability is controlled by the clay smear configuration and, crucially, that it typically exhibits multimodal probability distributions due to the existence of holes. The latter is a unique feature of our algorithm, which can be used to build fault permeability scenarios to manage and mitigate risk in subsurface applications.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/91/619200/Fault-permeability-from-stochastic-modeling-of,2023-01-21
Eocene magmatism in the Himalaya: Response to lithospheric flexure during early Indian collision?,^^^none^^^,https://pubs.geoscienceworld.org/gsa/geology/article/51/1/96/619175/Eocene-magmatism-in-the-Himalaya-Response-to,2023-01-21
Trends and rhythms in carbonatites and kimberlites reflect thermo-tectonic evolution of Earth,"Earth's thermo-tectonic evolution determines the way the planet's interior and surface interact and shows temporal changes in both trends and periodic rhythms. By sampling the subcontinental lithospheric mantle that represents the interface between the convecting mantle and the crust, carbonatite and kimberlite should be ideal rock types for documenting this evolution. The first-order secular rise of kimberlites over time has been noted by researchers, but there is much debate over how to interpret this trend, and their second-order variability has received less attention. We compiled a comprehensive global carbonatite database and compared it with an existing kimberlite one. We find that the numbers of carbonatites and kimberlites have similar increasing secular trends, with accelerated growth after ca. 1 Ga, and show the same periodic rhythms that have been synchronized to the supercontinent cycle since ca. 2.1 Ga. We link these trends and rhythms to the long-term change of Earth and the supercontinent cycle, both of which have altered the temperature of, and the subduction-recycled volatile flux into, the subcontinental lithosphere. Such consistent records in carbonatite and kimberlite behavior provide critical evidence for the synchronous thermo-tectonic evolution of the entire subcontinental lithosphere.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/101/619201/Trends-and-rhythms-in-carbonatites-and-kimberlites,2023-01-21
Detrital glass in a Bering Sea sediment core yields a ca. 160 ka Marine Isotope Stage 6 age for Old Crow tephra,^^^none^^^,https://pubs.geoscienceworld.org/gsa/geology/article/51/1/106/619171/Detrital-glass-in-a-Bering-Sea-sediment-core,2023-01-21
Preferential preservation of low-elevation biotas in the nonmarine fossil record,"Modern coastal sedimentary basins typically lie at low elevations (<600 m), whereas inland basins commonly occupy elevations as high as 4000–5000 m. Individual basins of all types typically preserve a narrower span of elevations, generally <1000 m, and typically near 200–300 m in coastal basins. As a result, the nonmarine fossil record is expected to preserve mainly low-elevation habitats and a relatively narrow range of elevations. Because many of the basins that preserve high elevations are likely to undergo subsequent destruction via erosion or continental collision, the dominance of low-elevation habitats is likely to become stronger into deep time. This selective preservation of nonmarine communities from sedimentary basins, and specifically from low elevations, suggests that much or even most of ancient nonmarine biodiversity is not preserved. Given the occurrence of many modern biodiversity hotspots in regions of high elevation, long ghost lineages are likely common in the nonmarine fossil record, and divergence times estimated from the nonmarine fossil record may be systematically far too short. The spans of elevations that are preserved in sedimentary basins suggest that the fossil record may preserve gradients in community composition that are correlated with elevation, yet they have been largely undetected.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/111/619177/Preferential-preservation-of-low-elevation-biotas,2023-01-21
Fluid inclusion evidence for overpressure-induced shale oil accumulation,"Shale oil is becoming increasingly important in the global energy market, but its accumulation mechanism is not fully understood. We present novel and direct fluid inclusion data from the Lower Permian Fengcheng Formation, Mahu Sag, Junggar Basin, northwest China. Shortite veins in this source rock contain abundant two-phase gas-liquid hydrocarbon inclusions and coeval aqueous inclusions. The inclusions have highly variable degrees of bubble filling (5–80 vol% vapor) and homogenization temperature differences between oil and aqueous inclusions (~50 °C), which demonstrate that fluid (oil-gas-water) immiscibility occurred at high pressures. The hydrocarbon inclusions record different levels of fluid over-pressure (32.9–43.0 MPa), with a paleopressure coefficient of 1.3–1.7. Episodic fluid over-pressure release resulted in shale oil accumulation, with faults/fractures acting as important migration pathways. Oil from deeper and more mature source rocks within the Fengcheng Formation was expelled upward to the shale oil reservoir. These processes are common and important in shale oil systems. These results show that the accumulation of unconventional hydrocarbons occurs pervasively within the reservoirs, and fluid displacement is critical in exploration and exploitation.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/115/619169/Fluid-inclusion-evidence-for-overpressure-induced,2023-01-21
“Excess Ar” by laboratory alteration of biotite,^^^none^^^,https://pubs.geoscienceworld.org/gsa/geology/article/51/1/121/619172/Excess-Ar-by-laboratory-alteration-of-biotite,2023-01-21
Geology Celebrates 50 Years,"“Design your paper for the busy reader.” So sums up the very first instructions for authors of Geology papers. Fifty years later, that is still a request made to the journal's authors.",https://pubs.geoscienceworld.org/gsa/geology/article/50/1/3/610351/Geology-Celebrates-50-Years,2023-01-24
"Metamorphism obscures primary taphonomic pathways in the early Cambrian Sirius Passet Lagerstätte, North Greenland","Correct interpretation of soft-bodied fossils relies on a thorough understanding of their taphonomy. While the focus has often been on the primary roles of decay and early diagenesis, the impacts of deeper burial and metamorphism on fossil preservation are less well understood. We document a sequence of late-stage mineral replacements in panarthropod fossils from the Sirius Passet Lagerstätte (North Greenland), an important early Cambrian Burgess Shale–type (BST) biota. Muscle and gut diverticula were initially stabilized by early diagenetic apatite, prior to being pervasively replaced by quartz and then subordinate chlorite, muscovite, and chloritoid during very low- to low-grade metamorphism. Each new mineral replicates the soft tissues with different precision and occurs in particular anatomical regions, imposing strong biases on the biological information retained. Muscovite and chloritoid largely obliterate the tissues’ original detail, suggesting that aluminum-rich protoliths may have least potential for conserving mineralized soft tissues in metamorphism. Overall, the fossils exhibit a marked shift toward mineralogical equilibration with the matrix, obscuring primary taphonomic modes. Sequential replacement of the phosphatized soft tissues released phosphorus to form new accessory monazite (and apatite and xenotime), whose presence in other BST biotas might signal the prior, more widespread, occurrence of this primary mode of preservation. Our results provide critical context for interpreting the Sirius Passet biota and for identifying late-stage overprints in other biotas.",https://pubs.geoscienceworld.org/gsa/geology/article/50/1/4/607799/Metamorphism-obscures-primary-taphonomic-pathways,2023-01-24
Boninitic blueschists record subduction initiation and subsequent accretion of an arc–forearc in the northeast Proto-Tethys Ocean,"Subduction of oceanic lithosphere is a diagnostic characteristic of plate tectonics. However, the geodynamic processes from initiation to termination of subduction zones remain enigmatic mainly due to the scarcity of appropriate rock records. We report the first discovery of early Paleozoic boninitic blueschists and associated greenschists from the eastern Proto-Tethyan North Qilian orogenic belt, northeastern Tibet, which have geochemical affinities that are typical of forearc boninites and island arc basalts, respectively. The boninitic protoliths of the blueschists record intra-oceanic subduction initiation at ca. 492–488 Ma in the eastern North Qilian arc/forearc–backarc system, whereas peak blueschist facies metamorphism reflects subsequent subduction of the arc/forearc complex to high pressure at ca. 455 Ma. These relations therefore record the life circle of an intra-oceanic subduction zone within the northeastern Proto-Tethys Ocean. The geodynamic evolution provides an early Paleozoic analogue of the early development of the Izu–Bonin–Mariana arc and its later subduction beneath the extant Japanese arc margin. This finding highlights the important role of subduction of former upper plate island arc/forearcs in reducing the likelihood of preservation of initial subduction-related rock records in ancient orogenic belts.",https://pubs.geoscienceworld.org/gsa/geology/article/50/1/10/607464/Boninitic-blueschists-record-subduction-initiation,2023-01-24
Extreme event-driven sediment aggradation and erosional buffering along a tectonic gradient in southern Taiwan,"In most landscape evolution models, extreme rainfall enhances river incision. In steep landscapes, however, these events trigger landslides that can buffer incision via increased sediment delivery and aggradation. We quantify landslide sediment aggradation and erosional buffering with a natural experiment in southern Taiwan where a northward gradient in tectonic activity drives increasing landscape steepness. We find that landscape response to extreme rainfall during the 2009 typhoon Morakot varied along this gradient, where steep areas experienced widespread channel sediment aggradation of >10 m and less steep areas did not noticeably aggrade. We model sediment export to estimate a sediment removal timeline and find that steep, tectonically active areas with the most aggradation may take centuries to resume bedrock incision. Expected sediment cover duration reflects tectonic uplift. We find that despite high stream power, sediment cover may keep steep channels from eroding bedrock for up to half of a given time period. This work highlights the importance of dynamic sediment cover in landscape evolution and suggests a mechanism by which erosional efficiency in tectonically active landscapes may decrease as landscape steepness increases.",https://pubs.geoscienceworld.org/gsa/geology/article/50/1/16/607466/Extreme-event-driven-sediment-aggradation-and,2023-01-24
"Contribution of orbital forcing and Deccan volcanism to global climatic and biotic changes across the Cretaceous-Paleogene boundary at Zumaia, Spain","Untangling the timing of the environmental effects of Deccan volcanism with respect to the Chicxulub impact is instrumental to fully assessing the contributions of both to climate change over the Cretaceous-Paleogene boundary (KPB) interval. Despite recent improvements in radiometric age calibrations, the accuracy of age constraints and correlations is insufficient to resolve the exact mechanisms leading to environmental and climate change in the 1 m.y. across the KPB. We present new high-resolution planktic foraminiferal, geochemical, and geophysical data from the Zumaia section (Spain), calibrated to an updated orbitally tuned age model. We provide a revised chronology for the major carbon isotope excursions (CIEs) and planktic foraminiferal events and test temporal relationships with different models of the eruptive phases of the Deccan Traps. Our data show that the major CIEs near the KPB, i.e., the late Maastrichtian warming event (66.25–66.10 Ma) and the Dan-C2 event (65.8–65.7 Ma), are synchronous with the last and the first 405 k.y. eccentricity maximum of the Maastrichtian and the Danian, respectively, and that the minor Lower C29n event (65.48–65.41 Ma) is well constrained to a short eccentricity maximum. Conversely, we obtained evidence of abrupt environmental change likely related to Deccan volcanism at ca. 65.9 Ma, based on a bloom of opportunistic triserial guembelitriids (Chiloguembelitria). The orbital, isotopic, and paleobiological temporal relationships with Deccan volcanism established here provide new insights into the role of Deccan volcanism in climate and environmental change in the 1 m.y. across the KPB.",https://pubs.geoscienceworld.org/gsa/geology/article/50/1/21/607267/Contribution-of-orbital-forcing-and-Deccan,2023-01-24
Volcanic plumbing filters on ocean-island basalt geochemistry,"Ocean-island basalts (OIBs) are considered to be messengers from the deep mantle, yet the filtering effect of the plumbing systems that bring OIB melts to the surface remains poorly assessed. We investigated volcanic products from El Hierro island (Canary Islands) from textural and chemical perspectives. The majority of geochemical data cluster at relatively fractionated basaltic compositions of 5 wt% MgO. Compositions ≥10 wt% MgO are porphyritic whole rocks that accumulate mafic minerals. Near-primary melts do not erupt. Instead, we show that carrier melts (crystal-free whole rocks, glasses, and melt inclusions) are consistently buffered to low-MgO compositions during passage through the plumbing system. We tested our model of melt fractionation and crystal accumulation on a global compilation of OIBs. Similar to El Hierro, the majority of data cluster at evolved compositions of 5 wt% MgO (alkaline) to 7 wt% MgO (tholeiitic). Modeling the fractionation of OIB parental melts, we show that with 50% crystallization, OIB melts reach 5 wt% MgO with reduced density, increased volatile content, and overall low viscosity, becoming positively buoyant relative to wall rocks and highly eruptible when reaching volatile saturation at depths around the crust-mantle boundary. Under these conditions, 5 wt% MgO OIB “sweet spot” melts are propelled to the surface and erupt carrying an assortment of recycled crystals. This mechanism is consistent with the petrography and chemistry of erupted products and suggests OIB volcanoes are dominated by low-MgO basaltic melts.",https://pubs.geoscienceworld.org/gsa/geology/article/50/1/26/607641/Volcanic-plumbing-filters-on-ocean-island-basalt,2023-01-24
